numero,texto,tipo
1,¿Cómo es trabajar con esta persona?,AFINIDAD
2,¿Por qué te gusta trabajar con esta persona?,MULTIPLE
3,"¿Qué hace que a veces funcione y otras no?",MULTIPLE
4,¿Qué te dificulta al trabajar con esta persona?,MULTIPLE
5,¿Quiénes ayudan a que el grupo funcione bien?,SELECCION_COMPANEROS
6,¿Quiénes te hacen sentir parte del grupo cuando trabajan juntos/as?,SELECCION_COMPANEROS
7,¿Quiénes suelen tomar el rol de líder cuando trabajan en grupo?,SELECCION_COMPANEROS
8,¿Quiénes suelen quedarse sin grupo o no ser elegidos/as cuando hay que formar equipos?,SELECCION_COMPANEROS
9,¿Quiénes creés que necesitan más apoyo para poder trabajar mejor en grupo?,SELECCION_COMPANEROS
10,¿Con quién te cuesta más trabajar en grupo?,SELECCION_COMPANEROS
